City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
249,Tessalit,ML,2022-11-28 18:30:43,20.1986,1.0114,76.91,14,100,9.04
250,Felanitx,ES,2022-11-28 18:30:44,39.4696,3.1483,56.95,67,95,26.11
251,Topolobampo,MX,2022-11-28 18:30:44,25.6,-109.05,71.51,33,0,3.44
252,Victoria,HK,2022-11-28 18:29:20,22.2855,114.1577,77.38,93,25,5.99
253,Bondo,CD,2022-11-28 18:30:44,3.8146,23.6866,69.82,95,42,2.44
254,Ndola,ZM,2022-11-28 18:30:45,-12.9587,28.6366,64.54,91,93,5.01
255,Abrau-Dyurso,RU,2022-11-28 18:30:46,44.69,37.59,40.46,78,100,10.51
256,Batote,IN,2022-11-28 18:30:46,33.1227,75.321,47.21,39,0,7.16
257,Shar,KZ,2022-11-28 18:30:47,49.5886,81.0453,-27.9,96,5,3.56
258,Hidalgotitlan,MX,2022-11-28 18:30:47,17.7833,-94.6333,78.82,74,60,5.01
259,Nanfeng,CN,2022-11-28 18:30:48,23.7434,111.7959,72.61,96,19,1.9
260,Lompoc,US,2022-11-28 18:30:48,34.6391,-120.4579,62.78,80,0,1.99
261,Mayor Pablo Lagerenza,PY,2022-11-28 18:30:49,-19.9309,-60.7718,104.63,14,5,9.69
262,Camopi,GF,2022-11-28 18:30:50,3.1655,-52.3158,76.21,94,100,3.02
263,Inirida,CO,2022-11-28 18:30:51,3.8653,-67.9239,79.12,86,98,3.36
264,Dauphin,CA,2022-11-28 18:30:51,51.1494,-100.0502,30.34,74,100,16.11
265,Carnarvon,AU,2022-11-28 18:30:51,-24.8667,113.6333,71.8,78,0,13.73
266,Talnakh,RU,2022-11-28 18:30:52,69.4865,88.3972,6.21,98,100,7.96
267,Rio Grande,BR,2022-11-28 18:30:52,-32.035,-52.0986,82.51,71,0,15.88
268,Sitka,US,2022-11-28 18:28:14,57.0531,-135.33,28.29,74,40,5.75
269,Cantagalo,BR,2022-11-28 18:30:52,-21.9811,-42.3681,75.36,84,58,4.09
270,Hofn,IS,2022-11-28 18:30:53,64.2539,-15.2082,35.62,100,100,3.44
271,Carlsbad,US,2022-11-28 18:30:53,33.1581,-117.3506,63.23,69,100,10.0
272,Puerto Escondido,MX,2022-11-28 18:30:54,15.85,-97.0667,85.03,61,40,6.91
273,Khatanga,RU,2022-11-28 18:30:54,71.9667,102.5,-18.06,100,100,4.76
274,Barrow,US,2022-11-28 18:30:54,71.2906,-156.7887,-18.38,69,0,8.05
275,Tolbazy,RU,2022-11-28 18:31:55,54.0241,55.8825,-0.38,100,70,2.26
276,Berezovyy,RU,2022-11-28 18:31:55,51.6667,135.7,7.48,81,100,2.84
277,Cervo,ES,2022-11-28 18:31:56,43.6702,-7.4101,52.97,78,88,13.18
278,Wiwili,NI,2022-11-28 18:31:56,13.6268,-85.8254,81.52,74,47,4.63
279,Buchanan,LR,2022-11-28 18:31:57,5.8808,-10.0467,78.73,79,13,7.63
280,Marzuq,YE,2022-11-28 18:31:57,14.4,46.4667,64.11,37,1,0.85
281,Bose,IT,2022-11-28 18:31:57,45.4612,8.0137,42.21,87,100,0.27
282,San Vicente,AR,2022-11-28 18:31:58,-26.6167,-54.1333,82.87,37,51,5.55
283,Sinnamary,GF,2022-11-28 18:31:58,5.3833,-52.95,79.5,80,98,7.49
284,Rawson,AR,2022-11-28 18:31:58,-43.3002,-65.1023,91.69,27,40,14.97
285,Lucapa,AO,2022-11-28 18:31:59,-8.4192,20.7447,64.96,92,100,0.74
286,Slave Lake,CA,2022-11-28 18:31:59,55.2834,-114.769,12.18,73,100,10.36
287,Nhulunbuy,AU,2022-11-28 18:31:59,-12.2333,136.7667,79.41,89,100,2.3
288,Nanortalik,GL,2022-11-28 18:32:00,60.1432,-45.2371,35.04,86,100,16.22
289,Oakland,US,2022-11-28 18:28:51,42.6667,-83.3999,42.69,73,100,0.0
290,Mirabad,AF,2022-11-28 18:32:01,30.4362,61.8383,63.27,33,0,8.48
291,Touros,BR,2022-11-28 18:32:02,-5.1989,-35.4608,82.54,65,98,12.28
292,Matagami,CA,2022-11-28 18:32:03,49.7502,-77.6328,23.11,74,0,10.36
293,Cockburn Town,TC,2022-11-28 18:29:56,21.4612,-71.1419,80.2,66,73,9.46
