City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
281,Namibe,AO,-15.1961,12.1522,70.3,80,77,10.78,broken clouds
282,Kimbe,PG,-5.5502,150.1429,75.94,93,100,1.52,light rain
283,Olga,RU,43.7444,135.2892,4.66,76,3,7.2,clear sky
284,Charters Towers,AU,-20.1,146.2667,66.79,78,98,8.5,overcast clouds
285,Aswan,EG,24.0934,32.907,71.33,33,0,11.12,clear sky
286,Guerrero Negro,MX,27.9769,-114.0611,64.38,60,46,12.28,scattered clouds
287,Bafq,IR,31.6128,55.4107,56.71,39,1,8.03,clear sky
288,Richards Bay,ZA,-28.783,32.0377,71.87,78,57,13.8,broken clouds
289,Camacari,BR,-12.6975,-38.3242,82.17,75,93,10.22,overcast clouds
290,Barrow,US,71.2906,-156.7887,21.22,93,100,10.36,overcast clouds
291,Pombia,IT,45.653,8.6336,46.02,87,81,3.44,mist
292,Esperance,AU,-33.8667,121.9,62.82,88,45,16.26,scattered clouds
293,Imeni Poliny Osipenko,RU,52.4201,136.4853,-19.68,98,11,4.34,few clouds
294,Ponta Do Sol,PT,32.6667,-17.1,71.01,75,35,5.93,scattered clouds
295,Ulaangom,MN,49.9811,92.0667,-17.23,90,72,2.71,broken clouds
296,Yumen,CN,40.2833,97.2,11.17,68,76,12.08,broken clouds
297,Gorontalo,ID,0.5412,123.0595,74.16,95,94,3.56,overcast clouds
298,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.45,66,50,14.03,scattered clouds
299,Sinegorye,RU,62.0788,150.477,-16.73,98,100,2.08,overcast clouds
300,Barpathar,IN,26.3,93.8667,62.73,77,0,1.14,clear sky
301,Sayat,TM,38.7839,63.8803,31.87,33,100,12.59,overcast clouds
302,Tadine,NC,-21.55,167.8833,78.91,87,98,11.25,moderate rain
303,Hastings,GB,50.8552,0.5729,46.98,94,81,8.55,broken clouds
304,Champerico,GT,14.3,-91.9167,91.94,69,59,5.73,broken clouds
305,Phangnga,TH,8.4509,98.5298,75.24,93,100,3.18,overcast clouds
306,Port Hardy,CA,50.6996,-127.4199,26.78,80,75,4.61,broken clouds
307,Zalantun,CN,48.0,122.7167,-1.64,79,99,6.02,overcast clouds
308,Dunedin,NZ,-45.8742,170.5036,47.8,69,24,11.01,few clouds
309,Yerbogachen,RU,61.2767,108.0108,-11.15,96,100,8.12,overcast clouds
310,Mount Gambier,AU,-37.8333,140.7667,46.24,95,17,5.55,few clouds
311,Belle Fourche,US,44.6714,-103.8522,56.08,24,52,9.04,broken clouds
312,Hofn,IS,64.2539,-15.2082,44.69,78,76,16.2,light rain
313,Phonhong,LA,18.5007,102.4166,72.25,94,94,1.54,overcast clouds
314,Sarangani,PH,5.4033,125.4636,81.63,80,100,18.92,overcast clouds
315,Dingle,PH,10.9995,122.6711,75.36,95,93,7.45,overcast clouds
316,Cooma,AU,-36.2333,149.1333,47.71,94,78,4.23,broken clouds
317,Aracatuba,BR,-21.2089,-50.4328,95.79,26,48,7.65,scattered clouds
318,Flin Flon,CA,54.7682,-101.865,-9.56,70,100,10.36,light snow
319,Mandera,KE,3.9366,41.867,89.62,27,83,11.68,broken clouds
320,Abnub,EG,27.2696,31.1511,65.89,35,0,6.2,clear sky
321,Pelym,RU,61.0108,61.9978,-6.29,100,37,0.09,scattered clouds
322,Batsfjord,NO,70.6345,29.7185,31.78,93,75,6.91,broken clouds
323,Calvinia,ZA,-31.4707,19.776,69.89,34,10,9.89,clear sky
324,Basco,PH,20.4487,121.9702,77.99,84,100,23.67,overcast clouds
325,Purranque,CL,-40.9167,-73.1667,70.29,21,10,2.82,clear sky
326,Paraiso,CR,9.8383,-83.8656,78.89,73,55,6.31,broken clouds
327,Rovaniemi,FI,66.5,25.7167,27.81,93,100,3.44,light snow
328,Igurubi,TZ,-4.0,33.7,74.16,64,95,2.77,light rain
329,Cidreira,BR,-30.1811,-50.2056,72.81,91,100,15.37,overcast clouds
330,Marawi,PH,7.9986,124.2928,68.16,93,73,1.14,broken clouds
331,Port Macquarie,AU,-31.4333,152.9167,58.89,84,100,12.59,overcast clouds
332,Maridi,SS,4.9158,29.4742,75.0,66,100,3.04,overcast clouds
333,Batemans Bay,AU,-35.7167,150.1833,60.1,93,99,5.68,overcast clouds
334,Namatanai,PG,-3.6667,152.4333,79.36,82,94,3.74,light rain
335,Hualmay,PE,-11.0964,-77.6139,72.84,71,8,10.74,clear sky
336,Trairi,BR,-3.2778,-39.2689,85.48,58,46,14.14,scattered clouds
337,Bloomington,US,44.8408,-93.2983,31.71,56,0,12.66,snow
338,Kirovskiy,RU,45.0917,133.5136,0.59,90,52,4.14,broken clouds
339,Wanlaweyn,SO,2.6185,44.8938,79.43,73,93,14.25,overcast clouds
340,Amapa,BR,1.0,-52.0,80.83,89,71,2.84,broken clouds
341,Kyra,RU,49.5776,111.9753,0.37,73,100,12.1,overcast clouds
342,Tchibanga,GA,-2.85,11.0333,73.87,93,99,1.41,moderate rain
343,Surt,LY,31.2089,16.5887,63.32,41,8,2.71,clear sky
344,Mujiayingzi,CN,42.1167,118.7833,8.51,42,0,8.21,clear sky
345,Camanducaia,BR,-22.7553,-46.1447,76.96,67,49,5.79,scattered clouds
